;timestamp;customer_no;new_id;location;weekday;time
0;2019-09-02 07:03:00;1;1;dairy;Monday;07:03:00
1;2019-09-02 07:03:00;2;2;dairy;Monday;07:03:00
2;2019-09-02 07:04:00;3;3;dairy;Monday;07:04:00
3;2019-09-02 07:04:00;4;4;dairy;Monday;07:04:00
4;2019-09-02 07:04:00;5;5;spices;Monday;07:04:00
5;2019-09-02 07:04:00;6;6;spices;Monday;07:04:00
6;2019-09-02 07:04:00;7;7;spices;Monday;07:04:00
7;2019-09-02 07:04:00;8;8;fruit;Monday;07:04:00
8;2019-09-02 07:05:00;1;9;checkout;Monday;07:05:00
9;2019-09-02 07:05:00;5;10;checkout;Monday;07:05:00
10;2019-09-02 07:05:00;6;11;dairy;Monday;07:05:00
11;2019-09-02 07:05:00;7;12;drinks;Monday;07:05:00
12;2019-09-02 07:06:00;2;13;checkout;Monday;07:06:00
13;2019-09-02 07:06:00;3;14;checkout;Monday;07:06:00
14;2019-09-02 07:06:00;9;15;dairy;Monday;07:06:00
15;2019-09-02 07:06:00;10;16;fruit;Monday;07:06:00
16;2019-09-02 07:06:00;11;17;drinks;Monday;07:06:00
17;2019-09-02 07:06:00;12;18;spices;Monday;07:06:00
18;2019-09-02 07:06:00;13;19;dairy;Monday;07:06:00
19;2019-09-02 07:06:00;14;20;fruit;Monday;07:06:00
20;2019-09-02 07:07:00;8;21;checkout;Monday;07:07:00
21;2019-09-02 07:07:00;12;22;drinks;Monday;07:07:00
22;2019-09-02 07:07:00;15;23;spices;Monday;07:07:00
23;2019-09-02 07:07:00;16;24;dairy;Monday;07:07:00
24;2019-09-02 07:08:00;4;25;checkout;Monday;07:08:00
25;2019-09-02 07:08:00;10;26;checkout;Monday;07:08:00
26;2019-09-02 07:08:00;11;27;checkout;Monday;07:08:00
27;2019-09-02 07:08:00;15;28;fruit;Monday;07:08:00
28;2019-09-02 07:09:00;7;29;spices;Monday;07:09:00
29;2019-09-02 07:09:00;14;30;checkout;Monday;07:09:00
30;2019-09-02 07:09:00;16;31;spices;Monday;07:09:00
31;2019-09-02 07:10:00;12;32;checkout;Monday;07:10:00
32;2019-09-02 07:11:00;7;33;fruit;Monday;07:11:00
33;2019-09-02 07:11:00;16;34;checkout;Monday;07:11:00
34;2019-09-02 07:11:00;17;35;fruit;Monday;07:11:00
35;2019-09-02 07:12:00;9;36;fruit;Monday;07:12:00
36;2019-09-02 07:12:00;15;37;checkout;Monday;07:12:00
37;2019-09-02 07:12:00;18;38;fruit;Monday;07:12:00
38;2019-09-02 07:12:00;19;39;spices;Monday;07:12:00
39;2019-09-02 07:12:00;20;40;drinks;Monday;07:12:00
40;2019-09-02 07:13:00;7;41;checkout;Monday;07:13:00
41;2019-09-02 07:13:00;9;42;checkout;Monday;07:13:00
